时间,ox,oy,数量
2021-04-01 19:00:00,121.447989,31.221835,28.33
2021-04-01 19:00:00,121.447417,31.22183,36.51
2021-04-01 19:00:00,121.448502,31.221853,36.32
2021-04-01 19:00:00,121.447123,31.221849,22.15
2021-04-01 19:00:00,121.44671,31.22197,35.79
2021-04-01 19:00:00,121.44692,31.222018,23.0
2021-04-01 20:00:00,121.448337,31.221542,18.28
2021-04-01 20:00:00,121.448641,31.221543,23.45
2021-04-01 20:00:00,121.447989,31.221835,21.77
2021-04-01 20:00:00,121.447417,31.22183,35.77
2021-04-01 20:00:00,121.448502,31.221853,25.73
2021-04-01 20:00:00,121.447123,31.221849,29.13
2021-04-01 20:00:00,121.44671,31.22197,15.17
2021-04-01 20:00:00,121.44692,31.222018,33.31
2021-04-01 21:00:00,121.448337,31.221542,13.11
2021-04-01 21:00:00,121.448641,31.221543,29.14
2021-04-01 21:00:00,121.447989,31.221835,15.16
2021-04-01 21:00:00,121.447417,31.22183,14.76
2021-04-01 21:00:00,121.448502,31.221853,28.22
2021-04-01 21:00:00,121.447123,31.221849,27.44
2021-04-01 21:00:00,121.44671,31.22197,31.15
2021-04-01 21:00:00,121.44692,31.222018,32.01
2021-04-01 22:00:00,121.448337,31.221542,33.37
2021-04-01 22:00:00,121.448641,31.221543,31.96
2021-04-01 22:00:00,121.447989,31.221835,23.45
2021-04-01 22:00:00,121.447417,31.22183,25.69
2021-04-01 22:00:00,121.448502,31.221853,21.57
2021-04-01 22:00:00,121.447123,31.221849,31.46
2021-04-01 22:00:00,121.44671,31.22197,25.06
2021-04-01 22:00:00,121.44692,31.222018,26.58
2021-04-01 23:00:00,121.448337,31.221542,31.11
2021-04-01 23:00:00,121.448641,31.221543,21.85
2021-04-01 23:00:00,121.447989,31.221835,27.05
2021-04-01 23:00:00,121.447417,31.22183,27.92
2021-04-01 23:00:00,121.448502,31.221853,32.22
2021-04-01 23:00:00,121.447123,31.221849,25.8
2021-04-01 23:00:00,121.44671,31.22197,14.96
2021-04-01 23:00:00,121.44692,31.222018,19.0
2021-04-02 00:00:00,121.448337,31.221542,34.16
2021-04-02 00:00:00,121.448641,31.221543,21.86
2021-04-02 00:00:00,121.447989,31.221835,34.3
2021-04-02 00:00:00,121.447417,31.22183,32.17
2021-04-02 00:00:00,121.448502,31.221853,23.59
2021-04-02 00:00:00,121.447123,31.221849,27.61
2021-04-02 00:00:00,121.44671,31.22197,17.48
2021-04-02 00:00:00,121.44692,31.222018,20.26
2021-04-02 01:00:00,121.448337,31.221542,16.62
2021-04-02 01:00:00,121.448641,31.221543,39.73
2021-04-02 01:00:00,121.447989,31.221835,28.25
2021-04-02 01:00:00,121.447417,31.22183,22.13
2021-04-02 01:00:00,121.448502,31.221853,21.46
2021-04-02 01:00:00,121.447123,31.221849,22.94
2021-04-02 01:00:00,121.44671,31.22197,23.31
2021-04-02 01:00:00,121.44692,31.222018,36.69
2021-04-02 02:00:00,121.448337,31.221542,17.43
2021-04-02 02:00:00,121.448641,31.221543,25.07
2021-04-02 02:00:00,121.447989,31.221835,26.47
2021-04-02 02:00:00,121.447417,31.22183,24.3
2021-04-02 02:00:00,121.448502,31.221853,24.77
2021-04-02 02:00:00,121.447123,31.221849,23.24
2021-04-02 02:00:00,121.44671,31.22197,31.93
2021-04-02 02:00:00,121.44692,31.222018,17.2
2021-04-02 03:00:00,121.448337,31.221542,13.53
2021-04-02 03:00:00,121.448641,31.221543,35.79
2021-04-02 03:00:00,121.447989,31.221835,13.6
2021-04-02 03:00:00,121.447417,31.22183,23.84
2021-04-02 03:00:00,121.448502,31.221853,30.97
2021-04-02 03:00:00,121.447123,31.221849,31.01
2021-04-02 03:00:00,121.44671,31.22197,36.45
2021-04-02 03:00:00,121.44692,31.222018,18.02
2021-04-02 04:00:00,121.448337,31.221542,23.29
2021-04-02 04:00:00,121.448641,31.221543,15.48
2021-04-02 04:00:00,121.447989,31.221835,22.27
2021-04-02 04:00:00,121.447417,31.22183,12.83
2021-04-02 04:00:00,121.448502,31.221853,25.01
2021-04-02 04:00:00,121.447123,31.221849,10.65
2021-04-02 04:00:00,121.44671,31.22197,16.37
2021-04-02 04:00:00,121.44692,31.222018,12.55
2021-04-02 05:00:00,121.448337,31.221542,14.28
2021-04-02 05:00:00,121.448641,31.221543,26.19
2021-04-02 05:00:00,121.447989,31.221835,26.36
2021-04-02 05:00:00,121.447417,31.22183,27.3
2021-04-02 05:00:00,121.448502,31.221853,20.72
2021-04-02 05:00:00,121.447123,31.221849,38.36
2021-04-02 05:00:00,121.44671,31.22197,15.08
2021-04-02 05:00:00,121.44692,31.222018,32.0
