时间,dx,dy,数量
2021-04-01 16:00:00,121.446973,31.221699,27.53
2021-04-01 16:00:00,121.44656,31.22182,25.04
2021-04-01 16:00:00,121.44677,31.221868,20.69
2021-04-01 17:00:00,121.448187,31.221392,10.92
2021-04-01 17:00:00,121.448491,31.221393,41.86
2021-04-01 17:00:00,121.447839,31.221685,43.19
2021-04-01 17:00:00,121.447267,31.22168,25.2
2021-04-01 17:00:00,121.448352,31.221703,45.13
2021-04-01 17:00:00,121.446973,31.221699,19.16
2021-04-01 17:00:00,121.44656,31.22182,16.4
2021-04-01 17:00:00,121.44677,31.221868,18.61
2021-04-01 18:00:00,121.448187,31.221392,25.3
2021-04-01 18:00:00,121.448491,31.221393,27.6
2021-04-01 18:00:00,121.447839,31.221685,30.07
2021-04-01 18:00:00,121.447267,31.22168,34.57
2021-04-01 18:00:00,121.448352,31.221703,14.12
2021-04-01 18:00:00,121.446973,31.221699,12.46
2021-04-01 18:00:00,121.44656,31.22182,30.22
2021-04-01 18:00:00,121.44677,31.221868,43.35
2021-04-01 19:00:00,121.448187,31.221392,31.58
2021-04-01 19:00:00,121.448491,31.221393,34.98
2021-04-01 19:00:00,121.447839,31.221685,36.86
2021-04-01 19:00:00,121.447267,31.22168,28.58
2021-04-01 19:00:00,121.448352,31.221703,20.86
2021-04-01 19:00:00,121.446973,31.221699,24.53
2021-04-01 19:00:00,121.44656,31.22182,23.81
2021-04-01 19:00:00,121.44677,31.221868,18.75
2021-04-01 20:00:00,121.448187,31.221392,17.18
2021-04-01 20:00:00,121.448491,31.221393,40.0
2021-04-01 20:00:00,121.447839,31.221685,39.62
2021-04-01 20:00:00,121.447267,31.22168,37.14
2021-04-01 20:00:00,121.448352,31.221703,19.72
2021-04-01 20:00:00,121.446973,31.221699,22.04
2021-04-01 20:00:00,121.44656,31.22182,14.07
2021-04-01 20:00:00,121.44677,31.221868,19.59
2021-04-01 21:00:00,121.448187,31.221392,13.87
2021-04-01 21:00:00,121.448491,31.221393,27.42
2021-04-01 21:00:00,121.447839,31.221685,13.55
2021-04-01 21:00:00,121.447267,31.22168,21.35
2021-04-01 21:00:00,121.448352,31.221703,40.72
2021-04-01 21:00:00,121.446973,31.221699,20.27
2021-04-01 21:00:00,121.44656,31.22182,29.21
2021-04-01 21:00:00,121.44677,31.221868,33.35
2021-04-01 22:00:00,121.448187,31.221392,22.65
2021-04-01 22:00:00,121.448491,31.221393,26.95
2021-04-01 22:00:00,121.447839,31.221685,21.86
2021-04-01 22:00:00,121.447267,31.22168,19.12
2021-04-01 22:00:00,121.448352,31.221703,22.45
2021-04-01 22:00:00,121.446973,31.221699,31.32
2021-04-01 22:00:00,121.44656,31.22182,16.84
2021-04-01 22:00:00,121.44677,31.221868,17.47
2021-04-01 23:00:00,121.448187,31.221392,33.15
2021-04-01 23:00:00,121.448491,31.221393,38.79
2021-04-01 23:00:00,121.447839,31.221685,17.44
2021-04-01 23:00:00,121.447267,31.22168,26.05
2021-04-01 23:00:00,121.448352,31.221703,26.01
2021-04-01 23:00:00,121.446973,31.221699,28.38
2021-04-01 23:00:00,121.44656,31.22182,19.21
2021-04-01 23:00:00,121.44677,31.221868,20.65
2021-04-02 00:00:00,121.448187,31.221392,40.79
2021-04-02 00:00:00,121.448491,31.221393,25.51
2021-04-02 00:00:00,121.447839,31.221685,19.77
2021-04-02 00:00:00,121.447267,31.22168,37.29
2021-04-02 00:00:00,121.448352,31.221703,14.75
2021-04-02 00:00:00,121.446973,31.221699,22.08
2021-04-02 00:00:00,121.44656,31.22182,11.18
2021-04-02 00:00:00,121.44677,31.221868,20.39
2021-04-02 01:00:00,121.448187,31.221392,18.29
2021-04-02 01:00:00,121.448491,31.221393,26.68
2021-04-02 01:00:00,121.447839,31.221685,20.43
2021-04-02 01:00:00,121.447267,31.22168,25.77
2021-04-02 01:00:00,121.448352,31.221703,30.83
2021-04-02 01:00:00,121.446973,31.221699,17.88
2021-04-02 01:00:00,121.44656,31.22182,40.21
2021-04-02 01:00:00,121.44677,31.221868,24.95
2021-04-02 02:00:00,121.448187,31.221392,29.83
2021-04-02 02:00:00,121.448491,31.221393,34.08
2021-04-02 02:00:00,121.447839,31.221685,30.7
2021-04-02 02:00:00,121.447267,31.22168,32.55
2021-04-02 02:00:00,121.448352,31.221703,24.05
2021-04-02 02:00:00,121.446973,31.221699,33.31
2021-04-02 02:00:00,121.44656,31.22182,41.18
2021-04-02 02:00:00,121.44677,31.221868,23.1
2021-04-02 03:00:00,121.448187,31.221392,14.84
2021-04-02 03:00:00,121.448491,31.221393,27.8
2021-04-02 03:00:00,121.447839,31.221685,21.18
2021-04-02 03:00:00,121.447267,31.22168,17.23
2021-04-02 03:00:00,121.448352,31.221703,18.43
2021-04-02 03:00:00,121.446973,31.221699,26.81
2021-04-02 03:00:00,121.44656,31.22182,26.93
2021-04-02 03:00:00,121.44677,31.221868,24.17
2021-04-02 04:00:00,121.448187,31.221392,23.59
2021-04-02 04:00:00,121.448491,31.221393,16.61
2021-04-02 04:00:00,121.447839,31.221685,34.72
2021-04-02 04:00:00,121.447267,31.22168,19.07
2021-04-02 04:00:00,121.448352,31.221703,14.16
2021-04-02 04:00:00,121.446973,31.221699,15.64
2021-04-02 04:00:00,121.44656,31.22182,16.88
2021-04-02 04:00:00,121.44677,31.221868,13.2
2021-04-02 05:00:00,121.448187,31.221392,18.86
2021-04-02 05:00:00,121.448491,31.221393,38.44
2021-04-02 05:00:00,121.447839,31.221685,29.5
2021-04-02 05:00:00,121.447267,31.22168,18.58
2021-04-02 05:00:00,121.448352,31.221703,12.32
2021-04-02 05:00:00,121.446973,31.221699,31.32
2021-04-02 05:00:00,121.44656,31.22182,12.39
2021-04-02 05:00:00,121.44677,31.221868,23.02
